day,date,time_ist,slot,format,pillar,title,hook,cta,hashtags,festival,stories,launch_post,status
"1","2026-10-01","19:30","1","Reel","Sweet-making process","Hours, not minutes — the milk cake film","This milk cake took hours. Give us fifteen seconds.","Follow for the whole process — and tell us which sweet we should film next.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #MilkCake #AlwarKaMawa #DesiGhee","","Order reminder + link sticker; countdown sticker near festivals","#1","planned"
"2","2026-10-02","19:30","1","Carousel","Sweet-making process","Meet the Signature Six","Six sweets. Each one made the long way.","Comment 1–6 · Save this for your next order.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh #MilkCake #AlwarKaMawa #DesiGhee #Kalakand #MilkSweets #Peda #MathuraPeda #KesarPeda #MalaiBarfi #SilverVarq #Barfi","","Reshare customer stories and unboxings (with permission)","#2","planned"
"3","2026-10-03","19:30","1","Photo","Corporate gifting","Your logo, in gold foil","Diwali corporate gifting is now booking.","DM “DIWALI” for the corporate catalogue, or tap the link in bio.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #CorporateGifting #CorporateGiftsIndia #DiwaliGifting #EmployeeGifts #ClientGifts #Diwali2026 #FestiveGifting #DiwaliSweets #FestiveHampers #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Founder takeover: 3–5 frames, face to camera","#3","planned"
"4","2026-10-04","19:30","1","Reel","Packaging","The most satisfying 12 seconds of our day","The most satisfying 12 seconds of our day.","Send this to the person who always brings the best mithai.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand","","Family & festive moments; weekend order cut-off reminder","#4","planned"
"5","2026-10-05","19:30","1","Carousel","Founder journey","Why we started Mithaiwallah","Why would anyone start a sweets company in 2026?","Follow to build this with us. Ask me anything in the comments.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #FounderStory #MadeInIndia #VocalForLocal #SmallBusinessIndia #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Poll: “Which sweet are you?” + link sticker to /sweets","#5","planned"
"6","2026-10-06","19:30","1","Photo","Sweet-making process","Kalakand, made this morning","Made this morning. Gone by tonight.","Tag someone who would finish this box on the way home.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #Kalakand #MilkSweets #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand","","Behind the scenes: kitchen clips, halwai at work","#6","planned"
"7","2026-10-07","19:30","1","Reel","Sweet-making process","5 a.m. in our kitchen","Before Prayagraj wakes up, our kadhais are already warm.","Follow for more from inside the kitchen.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Question box: “Ask us anything about mithai / gifting”","#7","planned"
"8","2026-10-08","19:30","1","Carousel","Sweet-making process","Milk cake vs kalakand — what’s the difference?","You’ve eaten both. Can you tell them apart?","Comment your team 👇 and save this for your next sweet-shop argument.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #MilkCake #AlwarKaMawa #DesiGhee #Kalakand #MilkSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand","","Order reminder + link sticker; countdown sticker near festivals","#8","planned"
"9","2026-10-09","19:30","1","Photo","Wedding gifting","Return gifts, with your names on them","The last thing your guests take home should be the sweetest.","DM “WEDDING” for our wedding catalogue.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Reshare customer stories and unboxings (with permission)","#9","planned"
"10","2026-10-10","19:30","1","Reel","Sweet-making process","Every peda carries a thumbprint","Look closely at your peda. That’s a thumbprint.","Save this. Share it with someone who takes peda for granted.","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #Peda #MathuraPeda #KesarPeda #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Founder takeover: 3–5 frames, face to camera","#10","planned"
